Index,NAME,DATE,TAVG,TMAX,TMIN,Season
626,O'ahu,29 September 2015,69,78,63,Autumn
627,O'ahu,30 September 2015,69,78,63,Autumn
628,O'ahu,01 October 2015,70,82,63,Autumn
632,O'ahu,05 October 2015,72,85,63,Autumn
635,O'ahu,08 October 2015,68,77,63,Autumn
646,O'ahu,19 October 2015,72,83,63,Autumn
652,O'ahu,25 October 2015,68,75,63,Autumn
658,O'ahu,31 October 2015,69,77,63,Autumn
659,O'ahu,01 November 2015,69,78,63,Winter
660,O'ahu,02 November 2015,69,77,63,Winter
661,O'ahu,03 November 2015,69,80,63,Winter
666,O'ahu,08 November 2015,68,77,63,Winter
667,O'ahu,09 November 2015,67,76,63,Winter
668,O'ahu,10 November 2015,67,75,63,Winter
670,O'ahu,12 November 2015,66,73,63,Winter
671,O'ahu,13 November 2015,65,68,63,Winter
676,O'ahu,18 November 2015,69,79,63,Winter
678,O'ahu,20 November 2015,66,69,63,Winter
682,O'ahu,24 November 2015,66,68,63,Winter
831,O'ahu,23 April 2016,67,73,63,Spring
845,O'ahu,07 May 2016,65,68,63,Summer
851,O'ahu,13 May 2016,65,67,63,Summer
857,O'ahu,19 May 2016,68,76,63,Summer
858,O'ahu,20 May 2016,68,76,63,Summer
859,O'ahu,21 May 2016,68,74,63,Summer
874,O'ahu,05 June 2016,65,68,63,Summer
878,O'ahu,09 June 2016,69,78,63,Summer
879,O'ahu,10 June 2016,70,79,63,Summer
882,O'ahu,13 June 2016,69,80,63,Summer
884,O'ahu,15 June 2016,68,75,63,Summer
885,O'ahu,16 June 2016,69,76,63,Summer
886,O'ahu,17 June 2016,69,79,63,Summer
887,O'ahu,18 June 2016,69,76,63,Summer
888,O'ahu,19 June 2016,69,78,63,Summer
890,O'ahu,21 June 2016,69,77,63,Summer
891,O'ahu,22 June 2016,69,79,63,Summer
895,O'ahu,26 June 2016,70,79,63,Summer
896,O'ahu,27 June 2016,70,80,63,Summer
903,O'ahu,04 July 2016,69,77,63,Summer
904,O'ahu,05 July 2016,71,81,63,Summer
907,O'ahu,08 July 2016,71,80,63,Summer
908,O'ahu,09 July 2016,70,79,63,Summer
912,O'ahu,13 July 2016,69,78,63,Summer
918,O'ahu,19 July 2016,69,77,63,Summer
928,O'ahu,29 July 2016,71,80,63,Summer
948,O'ahu,18 August 2016,72,82,63,Autumn
951,O'ahu,21 August 2016,71,78,63,Autumn
955,O'ahu,25 August 2016,71,81,63,Autumn
957,O'ahu,27 August 2016,69,74,63,Autumn
966,O'ahu,05 September 2016,69,78,63,Autumn
967,O'ahu,06 September 2016,69,79,63,Autumn
968,O'ahu,07 September 2016,69,79,63,Autumn
970,O'ahu,09 September 2016,70,80,63,Autumn
972,O'ahu,11 September 2016,71,79,63,Autumn
980,O'ahu,19 September 2016,69,78,63,Autumn
1004,O'ahu,13 October 2016,70,79,63,Autumn
1012,O'ahu,21 October 2016,69,77,63,Autumn
1013,O'ahu,22 October 2016,68,77,63,Autumn
1014,O'ahu,23 October 2016,68,76,63,Autumn
1015,O'ahu,24 October 2016,69,79,63,Autumn
1022,O'ahu,31 October 2016,67,74,63,Autumn
1036,O'ahu,14 November 2016,69,78,63,Winter
1037,O'ahu,15 November 2016,68,78,63,Winter
1041,O'ahu,19 November 2016,68,77,63,Winter
1042,O'ahu,20 November 2016,66,72,63,Winter
1057,O'ahu,05 December 2016,65,69,63,Winter
1058,O'ahu,06 December 2016,67,74,63,Winter
1204,O'ahu,01 May 2017,67,80,63,Summer
1205,O'ahu,02 May 2017,65,71,63,Summer
1207,O'ahu,04 May 2017,70,82,63,Summer
1239,O'ahu,05 June 2017,70,81,63,Summer
1240,O'ahu,06 June 2017,69,81,63,Summer
1245,O'ahu,11 June 2017,71,80,63,Summer
1250,O'ahu,16 June 2017,68,77,63,Summer
1251,O'ahu,17 June 2017,69,78,63,Summer
1252,O'ahu,18 June 2017,67,76,63,Summer
1254,O'ahu,20 June 2017,69,78,63,Summer
1263,O'ahu,29 June 2017,69,78,63,Summer
1264,O'ahu,30 June 2017,68,78,63,Summer
1265,O'ahu,01 July 2017,68,77,63,Summer
1273,O'ahu,09 July 2017,69,78,63,Summer
1277,O'ahu,13 July 2017,71,79,63,Summer
1283,O'ahu,19 July 2017,70,83,63,Summer
1294,O'ahu,30 July 2017,70,82,63,Summer
1299,O'ahu,04 August 2017,71,78,63,Autumn
1304,O'ahu,09 August 2017,69,78,63,Autumn
1307,O'ahu,12 August 2017,71,82,63,Autumn
1308,O'ahu,13 August 2017,70,82,63,Autumn
1309,O'ahu,14 August 2017,69,79,63,Autumn
1310,O'ahu,15 August 2017,70,81,63,Autumn
1311,O'ahu,16 August 2017,70,81,63,Autumn
1322,O'ahu,27 August 2017,72,82,63,Autumn
1325,O'ahu,30 August 2017,70,80,63,Autumn
1331,O'ahu,05 September 2017,69,74,63,Autumn
1337,O'ahu,11 September 2017,68,79,63,Autumn
1343,O'ahu,17 September 2017,68,78,63,Autumn
1344,O'ahu,18 September 2017,68,77,63,Autumn
1345,O'ahu,19 September 2017,69,76,63,Autumn
1355,O'ahu,29 September 2017,68,78,63,Autumn
1359,O'ahu,03 October 2017,70,80,63,Autumn
1362,O'ahu,06 October 2017,71,83,63,Autumn
1367,O'ahu,11 October 2017,70,78,63,Autumn
1371,O'ahu,15 October 2017,67,74,63,Autumn
1375,O'ahu,19 October 2017,68,74,63,Autumn
1377,O'ahu,21 October 2017,70,82,63,Autumn
1379,O'ahu,23 October 2017,68,76,63,Autumn
1390,O'ahu,03 November 2017,71,81,63,Winter
1395,O'ahu,08 November 2017,69,78,63,Winter
1397,O'ahu,10 November 2017,71,79,63,Winter
1414,O'ahu,27 November 2017,65,68,63,Winter
1417,O'ahu,30 November 2017,66,69,63,Winter
1418,O'ahu,01 December 2017,69,79,63,Winter
1545,O'ahu,07 April 2018,67,72,63,Spring
1547,O'ahu,09 April 2018,67,72,63,Spring
1550,O'ahu,12 April 2018,69,77,63,Spring
1551,O'ahu,13 April 2018,67,75,63,Spring
1553,O'ahu,15 April 2018,67,76,63,Spring
1588,O'ahu,20 May 2018,69,79,63,Summer
1590,O'ahu,22 May 2018,68,76,63,Summer
1598,O'ahu,30 May 2018,66,71,63,Summer
1602,O'ahu,03 June 2018,70,80,63,Summer
1604,O'ahu,05 June 2018,69,78,63,Summer
1606,O'ahu,07 June 2018,70,80,63,Summer
1607,O'ahu,08 June 2018,70,77,63,Summer
1609,O'ahu,10 June 2018,69,78,63,Summer
1610,O'ahu,11 June 2018,69,77,63,Summer
1611,O'ahu,12 June 2018,67,77,63,Summer
1612,O'ahu,13 June 2018,69,78,63,Summer
1613,O'ahu,14 June 2018,68,73,63,Summer
1614,O'ahu,15 June 2018,69,81,63,Summer
1622,O'ahu,23 June 2018,69,77,63,Summer
1623,O'ahu,24 June 2018,69,79,63,Summer
1628,O'ahu,29 June 2018,69,80,63,Summer
1634,O'ahu,05 July 2018,72,86,63,Summer
1638,O'ahu,09 July 2018,68,76,63,Summer
1667,O'ahu,07 August 2018,71,85,63,Autumn
1672,O'ahu,12 August 2018,71,82,63,Autumn
1673,O'ahu,13 August 2018,70,79,63,Autumn
