Index,latitude,longitude,name,province,categories,Date,Guest Comment,Image,Title
0,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-05-06T00:00:00Z,"We had A/C issues at 3:30 am and it woke us up. The front desk did offer to change rooms, but 2 queen beds, but I wasn't going anywhere at 3:30 am, so we slept with the window opened. The front desk did not want to make us happy when we departed. I will tell others to stay away at least until the construction is completed at the end of June 2016.",https://i.ytimg.com/vi/-3sDBl4Vf6k/maxresdefault.jpg,Please Keep Away Until Construction is Completed.
1,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-06-02T00:00:00Z,"A/C was broken. Hotel was still under construction. We were told that it would be fully completed by April 15, 2016 and we even pre-paid our reservation, so we couldn't cancel it. As of May 06, 2016 construction was not fully completed. This hotel still needs a lot of work. PLEASE STAY AWAY!!!!!",https://i.ytimg.com/vi/gVWrPX3Uz9Q/maxresdefault.jpg,Please Keep Away Until Construction is Completed.
2,21.281574,-157.830789,Hotel 4,HI,"Vacation Rentals,Resorts & Vacation Cottages,Vacation Home Rental,Hotels,Hotels & Motels,Apartments,Apartment Operators,Resorts",2015-10-08T00:00:00Z,"We had a one night stay at your hotel, Sept. 19. 2015. It had to be the worst hotel I have ever stayed in. Upon arrival we discovered that the elevator was broken. I was traveling with an elderly gentleman and the stairs were the only way to our room.",https://i.ytimg.com/vi/xcEB0cn4doU/maxresdefault.jpg,worst ever !
3,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-06-24T00:00:00Z,Elevator was broken.,https://media-cdn.tripadvisor.com/media/photo-s/00/19/4d/59/broken-elevator.jpg,Gutes Preis- Leistungsverhï¿½ï¿½ltnis Frï¿½ï¿½hstï¿½ï¿½cksbuffet
4,21.281574,-157.830789,Hotel 4,HI,"Vacation Rentals,Resorts & Vacation Cottages,Vacation Home Rental,Hotels,Hotels & Motels,Apartments,Apartment Operators,Resorts",2015-09-17T00:00:00Z,Unprepared for the unwelcoming entrance to this establishment. Up a narrow walkway.,https://media-cdn.tripadvisor.com/media/photo-s/00/19/4d/59/broken-elevator.jpg,Very much a budget place
5,22.042716,-159.33808,Hotel 5,HI,Hotels,2016-06-01T00:00:00Z,I expected that the Jacuzzi would be hot (or at least warm) - it was not. Very disapointed…,https://media-cdn.tripadvisor.com/media/photo-s/01/86/8b/e8/the-jacuzzi.jpg,Did not live up to the Hilton name
6,21.281574,-157.830789,Hotel 4,HI,"Vacation Rentals,Resorts & Vacation Cottages,Vacation Home Rental,Hotels,Hotels & Motels,Apartments,Apartment Operators,Resorts",2015-09-27T00:00:00Z,"For the price that I paid for the room, it was horrific meaning that when me and my wife got into the room, IT WAS VERY HOT! Broken A/C. The next thing was that the elevator wasn't working, it took us over 45 minutes to find out that the hotel didn't have a parking spot after making circles.",https://media-cdn.tripadvisor.com/media/photo-s/02/df/d4/c0/club-hotel-pineta.jpg,Rooms
7,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-06-13T00:00:00Z,"At Night A/C very loud, als Switch of nigbours ac was loud Too we can't sleep",https://media-cdn.tripadvisor.com/media/photo-s/0b/4f/43/79/broken-smelly-air-conditioning.jpg,AC in room Too loud!
8,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-06-14T00:00:00Z,The A/C in my room broke and fortunately they had another room for me. Two other families in our party had booked the bungalows on the property and on their second day they were told they had to move into the hotel as the parking area in front of the bungalows was going to be paved. Apparently the hotel knew this was scheduled yet they moved them in anyhow and made them spend nearly a whole day of valuable vacation time moving.,https://media-cdn.tripadvisor.com/media/photo-s/11/19/37/8e/broken-ac-unit-hanging.jpg,Don't waste your money
9,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-07-30T00:00:00Z,Great beach park off the lani with views of the ocean. Great for family's with kids due to a large playground and very quit.,https://s3-media1.fl.yelpcdn.com/bphoto/6j49tmUI8ueAw15WpRYw7A/o.jpg,Nice surprise.
10,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-06-05T00:00:00Z,"Our room was on the bottom floor, facing the pool ocean. Very nice view. The lobby was beautiful- no walls. Breakfast was 19, regardless of buffet or cook to order. Bike rental was a nice plus. The evening Mai tai was a nice way to socialize. The staff was super helpful and welcoming. Will definitely stay again. Free laundry was a plus. The laundry facilities looked like a work in progress.",https://s3-media1.fl.yelpcdn.com/bphoto/e3KK3boIShG3XKd9Rk9HfA/o.jpg,"Great staff, excellent getaway"
11,21.281574,-157.830789,Hotel 4,HI,"Vacation Rentals,Resorts & Vacation Cottages,Vacation Home Rental,Hotels,Hotels & Motels,Apartments,Apartment Operators,Resorts",2016-02-16T00:00:00Z,"We spent 2 weeks in this hotel due to the cost of the the normal hotels we stay at were double the normal cost. The location of this hotel is GREAT, it has a nice good size flat screen TV with cable/Sat TV, and both beds were actually pretty comfortable - at this poit there is nothing else that I... More",https://s3-media1.fl.yelpcdn.com/bphoto/EDHUsyS7Yr3JAoOhVZIjDw/o.jpg,IN SEVERE NEED OF UPDATE - OVERHAUL
12,22.226328,-159.481416,Hotel 2,HI,Hotels,2016-07-02T00:00:00Z,Terrible view from my $300 a night room…,https://s3-media1.fl.yelpcdn.com/bphoto/gWpT2nT2NJekhskmHu_KLg/o.jpg,"Beautiful renovations location, and great staff!"
