date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
28/04/2013,68798683.45,31537136.8,41702,1500656272,135.3,0,4425,32.79194181,117984,8974296.015,130171,49.9800906,0.0005,21597536,177
29/04/2013,113812845.4,48216524.64,51602,1491702547,134.44,0,4349.9988,45.72411389,86925,8974296.015,112426,62.42589111,0.0005,25676453,174
30/04/2013,84266323.85,56867903.11,47450,1598310000,144,0,3725,45.74865143,76871,9854414.319,98258,26.94214512,0.0005,27042465,149
01/05/2013,120682532.5,82087357.75,55176,1543334375,139,0,3775,40.88593753,83564,10076292.88,96129,38.67197952,0.0005,25727393,151
02/05/2013,93375328.63,58237355.01,55295,1292577379,116.38,0,3350,52.5540039,81920,10076292.88,101721,35.38234803,0.0005,26388234,134
03/05/2013,72731326.23,54656405.12,51275,1180429532,106.25,0,3425,45.45884469,82804,10076292.88,92650,30.81855625,0.0005,24999318,137
04/05/2013,38965697.54,23192896,50102,1090276043,98.1,0,3975,45.66787787,69959,10076292.88,119009,15.91291185,0.0005,25116891,159
05/05/2013,57083710.55,25552273.97,50167,1255227845,112.9,0,4125,36.56506628,72103,10076292.88,103009,22.4671,0.0005,25186659,165
06/05/2013,85671328.51,36663917.29,53174,1289952756,115.98,0,4150,52.94511009,85164,10076292.88,114382,25.2534852,0.0005,27088540,166
07/05/2013,96724507.3,37942017.64,56567,1248938400,112.25,0,4200,46.71463015,109067,10076292.88,132270,31.95027314,0.0005,28735146,168
08/05/2013,79890880.1,39328210.49,50274,1219862574,109.6,0,4125,52.00264132,102388,10076292.88,131131,35.14667706,0.0005,25837956,165
09/05/2013,64539698.31,40470140.65,66610,1260436720,113.2,0,4100,65.88905401,81894,10076292.88,113131,24.13603196,0.0005,31016605,164
10/05/2013,78832455.56,43036415.38,67709,1256467920,112.8,0,4300,64.27633127,84293,10076292.88,135760,24.05370211,0.0005,32790392,172
11/05/2013,67245754.48,32927169.17,73220,1311621151,117.7,0,4550,61.69773114,80910,10076292.88,122381,21.2621519,0.0005,34695399,182
12/05/2013,52958026.91,26700734.02,65260,1289117137,115.64,0,4200,56.57452505,69607,10301130.95,117035,21.84949572,0.001,30605728,168
13/05/2013,76172686.19,33185222.44,60824,1280469770,114.82,0,4350,58.50963163,82796,11187257.46,118277,30.15033579,0.0005,29370446,174
14/05/2013,78868232.6,46014190.5,66316,1316164234,117.98,0,3850,57.38806322,83723,11187257.46,115947,26.31838496,0.0005,31095277,154
15/05/2013,69354130.15,48288335.28,64030,1243154375,111.4,0,3524.9995,60.48453576,84715,11187257.46,115537,33.3086,0.0005,30736977,141
16/05/2013,68700561.73,41955490.69,61010,1275046427,114.22,0,3700,77.36863781,84113,11187257.46,132292,28.81475912,0.0005,29768952,148
17/05/2013,80408408.44,46366370.08,58570,1320119503,118.21,0,4025,55.40377799,78407,11187257.46,93460,29.5525,0.0005,28015240,161
18/05/2013,73068676.36,35452624.57,52066,1379574546,123.5,0,3725,39.56532087,68328,11187257.46,81646,43.16325,0.0005,24964632,149
19/05/2013,47427524.52,27820167.87,47664,1376837868,123.21,0,3900,47.14334424,64189,11187257.46,80118,36.1645647,0.0005,22085086,156
20/05/2013,60216296.52,35384328.96,48692,1369298875,122.5,0,3225,43.45547937,71628,11187257.46,102593,59.30372,0.0005,23345555,129
21/05/2013,73148597.74,41731827.22,53791,1364397135,122.02,0,3775,46.50942757,82536,11187257.46,98876,71.50727932,0.0005,26275853,151
22/05/2013,80725435.4,39968018.14,51834,1374593433,122.89,0,3900,49.88873569,74758,11187257.46,90777,58.3813523,0.0005,24788215,156
23/05/2013,76953217.96,41128848.02,59615,1385318905,123.8,0,4350,56.46156491,83223,11187257.46,94653,61.9,0.0005,28235750,174
24/05/2013,88025799.41,50331557.16,55232,1413830618,126.3,0,4225,48.33183927,84914,11187257.46,92399,68.96462466,0.0005,26872166,169
25/05/2013,83481694.7,38740294.42,51115,1490500385,133.1,0,4125,47.27625949,69588,11450754.07,79735,41.42050571,0.0005,24588034,165
