Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,0,2,211.25,144,4627.489571,0.001360544,0.020664031,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,NULL
7,150.3571429,1,9,221,11431.00124,0.011148992,0.021904109,1.582473154,0,Nov,2,5,1,2,Returning_Visitor,TRUE,NULL
3,16,3,86,15,2773.5,0,0.03,78.81172527,0,Dec,2,2,1,2,Returning_Visitor,FALSE,NULL
0,0,0,0,7,705.8333333,0.028571429,0.085714286,0,0,Dec,5,11,4,1,Returning_Visitor,TRUE,NULL
0,0,0,0,7,212.5,0,0.033333333,0,0,Nov,3,2,1,11,Returning_Visitor,TRUE,NULL
0,0,0,0,44,615,0.013636364,0.036363636,0,0,Dec,4,1,3,1,Returning_Visitor,FALSE,NULL
3,100.5,0,0,95,1453.640882,0.002105263,0.012761333,0,0,Dec,2,2,3,2,New_Visitor,FALSE,NULL
0,0,0,0,6,279,0,0.033333333,0,0,Dec,1,2,3,10,Returning_Visitor,TRUE,NULL
0,0,0,0,21,1128.583333,0,0.013043478,3.685400817,0,Dec,2,2,1,2,Returning_Visitor,FALSE,NULL
0,0,0,0,8,143.5833333,0.014285714,0.05,0,0,Nov,2,2,3,1,Returning_Visitor,FALSE,NULL
7,191.2,4,654.3333333,31,1204.600433,0.000854701,0.013342491,11.92009615,0,Mar,2,2,7,2,Returning_Visitor,FALSE,NULL
2,47,0,0,39,1743.366667,0,0.016410256,78.93483561,0,Mar,3,3,2,1,Returning_Visitor,FALSE,NULL
0,0,0,0,10,236,0,0.026666667,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,NULL
4,724,0,0,2,159,0,0.008,0,0,Mar,4,2,1,7,New_Visitor,FALSE,NULL
0,0,0,0,2,24,0,0.1,0,0,Mar,2,6,1,2,Returning_Visitor,FALSE,NULL
8,237.5,4,142,30,1569.625,0,0.008108108,15.88906362,0,Mar,1,2,1,9,Returning_Visitor,TRUE,NULL
